Song Title,Streams,Daily
Cruel Summer,"2,850,570,210","1,464,543"
Blank Space,"2,063,477,703","731,066"
I Don’t Wanna Live Forever (Fifty Shades Darker),"1,867,154,322","725,928"
Anti-Hero,"1,813,008,342","630,239"
Lover,"1,732,059,896","738,180"
cardigan,"1,616,745,053","814,285"
Shake It Off,"1,610,041,732","620,660"
august,"1,431,923,243","796,781"
Style,"1,374,636,396","511,986"
Don’t Blame Me,"1,368,355,250","671,531"
Look What You Made Me Do,"1,300,553,853","393,196"
Delicate,"1,139,506,768","410,119"
Wildest Dreams,"1,057,029,303","284,741"
You Need To Calm Down,"1,045,710,543","280,882"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"1,008,181,131","448,951"
Love Story,"987,037,785","331,277"
willow,"974,356,378","328,295"
Love Story (Taylor’s Version),"969,853,143","577,930"
I Knew You Were Trouble.,"946,193,876","342,103"
ME! (feat. Brendon Urie of Panic! At The Disco),"923,455,849","196,726"
Karma,"911,393,969","307,894"
The Man,"909,396,417","341,590"
Enchanted,"907,428,272","293,050"
Fortnight (feat. Post Malone),"896,084,083","907,588"
exile (feat. Bon Iver),"894,135,788","447,156"
Wildest Dreams (Taylor's Version),"877,372,750","412,089"
...Ready For It?,"877,090,745","370,110"
You Belong With Me (Taylor’s Version),"867,452,070","600,004"
Lavender Haze,"812,259,921","245,850"
Getaway Car,"774,212,722","322,638"
Midnight Rain,"762,397,369","259,538"
Paper Rings,"743,040,351","283,534"
champagne problems,"730,398,700","265,722"
We Are Never Ever Getting Back Together,"724,344,243","181,685"
"You're On Your Own, Kid","719,878,954","361,818"
You Belong With Me,"713,860,121","252,983"
Gorgeous,"671,584,525","216,899"
the 1,"664,880,557","239,701"
my tears ricochet,"661,740,400","469,828"
Bad Blood,"661,571,389","174,244"
Bejeweled,"636,342,542","241,221"
I Can Do It With a Broken Heart,"636,188,259","696,820"
End Game,"558,284,240","163,686"
Maroon,"533,403,673","206,204"
Daylight,"519,078,791","387,297"
illicit affairs,"518,662,513","270,848"
Is It Over Now? (Taylor's Version) (From The Vault),"514,515,667","273,581"
I Did Something Bad,"512,740,086","194,773"
mirrorball,"495,166,257","226,610"
The Way I Loved You (Taylor’s Version),"488,032,993","235,747"
this is me trying,"481,206,330","273,387"
Snow On The Beach (feat. Lana Del Rey),"478,721,355","128,392"
Call It What You Want,"477,153,517","217,761"
The Archer,"475,738,640","227,084"
Miss Americana & The Heartbreak Prince,"473,479,994","228,644"
Vigilante Shit,"468,018,651","159,753"
I Knew You Were Trouble (Taylor's Version),"447,563,856","249,760"
Afterglow,"445,710,225","205,093"
invisible string,"440,275,525","211,797"
Back To December,"432,912,171","144,402"
All Of The Girls You Loved Before,"428,330,377","190,395"
We Are Never Ever Getting Back Together (Taylor's Version),"423,810,564","222,763"
22,"423,430,560","112,448"
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),"421,266,596","157,893"
Down Bad,"420,545,929","390,859"
the last great american dynasty,"412,215,949","132,654"
betty,"411,948,753","140,799"
right where you left me - bonus track,"409,784,464","230,066"
Mastermind,"408,978,700","154,410"
Guilty as Sin?,"407,895,489","490,914"
Dress,"407,842,250","214,100"
Enchanted (Taylor's Version),"403,520,740","336,412"
Our Song,"401,890,809","176,652"
Cornelia Street,"390,569,263","172,458"
Fearless (Taylor’s Version),"387,485,839","235,680"
London Boy,"384,420,175","153,800"
tolerate it,"380,779,755","172,097"
I Forgot That You Existed,"374,592,579","109,381"
Now That We Don't Talk (Taylor's Version) (From The Vault),"370,315,231","256,057"
